"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,18194844028.067944,14749498028.067944,545,3445346.000000,18942285.000000,6488574.000000,3445346.000000,9008365.000000,0.342544,0.000000,0.000000,0,1.000000
2,17933460806.692558,14830126806.692558,548,3103334.000000,18942285.000000,6667127.000000,3103334.000000,9171824.000000,0.351971,0.000000,0.000000,0,1.000000
3,17865652257.995163,14814909257.995163,548,3050743.000000,18942285.000000,6714935.000000,3050743.000000,9176607.000000,0.354494,0.000000,0.000000,0,1.000000
4,17753782201.997555,14756976201.997555,547,2996806.000000,18942285.000000,6713253.000000,2996806.000000,9232226.000000,0.354406,0.000000,0.000000,0,1.000000
5,17829566123.963955,14699439123.963955,545,3130127.000000,18942285.000000,6648421.000000,3130127.000000,9163737.000000,0.350983,0.000000,0.000000,0,1.000000
6,17862525285.942955,14851549285.942957,544,3010976.000000,18942285.000000,6683915.000000,3010976.000000,9247394.000000,0.352857,0.000000,0.000000,0,1.000000
7,17696334890.160954,14778223890.160954,543,2918111.000000,18942285.000000,6721915.000000,2918111.000000,9302259.000000,0.354863,0.000000,0.000000,0,1.000000
8,17831329437.732552,14769729437.732550,547,3061600.000000,18942285.000000,6703126.000000,3061600.000000,9177559.000000,0.353871,0.000000,0.000000,0,1.000000
9,17823894661.882950,14706091661.882952,545,3117803.000000,18942285.000000,6630444.000000,3117803.000000,9194038.000000,0.350034,0.000000,0.000000,0,1.000000
10,17883174526.693947,14647228526.693949,543,3235946.000000,18942285.000000,6577489.000000,3235946.000000,9128850.000000,0.347238,0.000000,0.000000,0,1.000000
